,Document ID,Cosine Similarity,Description,Price,Prime,URL,Number of stars
0,242,0.3915464963135318,"TQQ Mouse wireless ricaricabile, mouse retroilluminato a 7 colori con mini ricevitore USB da 2,4 GHz, mouse gaming, Compatibile con laptop, PC, Mac, Computer, Chromebook, Notebook",11.99,False,https://www.amazon.it/dp/B09M3P8YBQ,4.3
1,94,0.35904509442605764,"""Lenovo, Pc Portatile Notebook, Display FHD da 15,6"""", CPU Intel N4500, Ram 8Gb, SSD 256Gb, Computer Portatile con Libre, W11 e Mouse Wireless""",265.0,True,https://www.amazon.it/dp/B09Q3Q3YDV,4.4
2,260,0.3373783729209844,"""Lenovo IdeaCentre Computer desktop All-In-One, Display 24"""" FHD, Intel Core i5-13420H, 512GB SSD, RAM 8GB, Base ricarica smartphone wireless, Speakers, WiFi 6, Windows 11 H, Tastiera + Mouse Wireless""",699.0,True,https://www.amazon.it/dp/B0CW3NNC5C,4.7
3,164,0.3325390273741625,"LeadsaiL Mouse Wireless, Silenzioso Mouse Senza Fili per PC Portatile, Ergonomico 2,4 GHz USB Mouse, 1600 DPI, Compatto, Smooth Tracking per Chromebook, Mac, Computer, Notebook - Rosa",9.99,False,https://www.amazon.it/dp/B09TGLVDMC,4.5
4,207,0.2557370580869104,bvate PC Portatile 14 Pollici Computer Portatile 8GB RAM 256GB SSD RPM 600 Notebook Celeron Fino a 2.8Ghz Laptop Win 11 con Mouse Wireless & Adesivi per Tastiera Italiana-Argento,249.99,True,https://www.amazon.it/dp/B0D8WB5SVN,4.8
5,268,0.2494459998850943,"AOCWEI PC Portatile 14 Pollici Celeron N4020, Win 11 Notebook con 5G WiFi 6GB+256GB SSD Expansion 1TB, BT4.2 Supporto Mouse Wireless & Protezione Tastiera - Oro",209.99,True,https://www.amazon.it/dp/B0BHYZV44D,4.6
6,30,0.23530678994714643,"WOZIFAN Win 11 Computer PC Portatile Notebook 14 Pollici 1080P 6+256GB 2.4G+5G Supporta La Scheda SSD La Scheda TF Estesa, Wireless Bluetooth Mouse Wifi, Italiana Tastiera blu",269.99,True,https://www.amazon.it/dp/B0CXHSKV1C,4.6
7,281,0.2219262807508738,"NOTODD PC Portatile Laptop Celeron N4020 (fino a 2.8 GHz), Win 11 Notebook 14 Pollici con 6GB+256GB SSD Expansion 1TB 5G WiFi, BT4.2 Supporto Mouse Wireless & Protezione Tastiera -Rosso",282.34,True,https://www.amazon.it/dp/B0D7W37TZ5,5.0
8,189,0.2101243755264404,"""Lenovo Notebook nuovo • Ram 16gb • cpu Intel N4500 @ 2,8ghz • Monitor 15.6"""" Full HD • hssd 756 gb • Ingresso lan, hdmi, USB • Sistema operativo win 11 PRO e Libre Office • mouse wireless + cuffie""",369.0,True,https://www.amazon.it/dp/B0C7H5K9DB,4.5
9,163,0.20426458537161946,"Trust Verto Mouse Verticale Wireless, Ergonomico senza Filo, 800/1200/1600 DPI, Microricevitore USB, 2.4GHz, 6 Pulsanti per PC, Computer, Portatile, Mac - Nero",27.07,False,https://www.amazon.it/dp/B07FM2GLNQ,4.4
