,Document ID,Cosine Similarity,Description,Price,Prime,URL,Number of stars
0,0,1.0,"NOTODD PC Portatile Laptop Win11 12GB 512GB 1TB SSD Espansione, Notebook 16 Pollici Celeron N5095 (fino a 2.9Ghz) 丨Ventola di Raffreddamento丨5G WIFI丨1920 * 1200 2K Schermo Doppio- Viola",384.99,True,https://www.amazon.it/dp/B0D836GQL5,4.9
1,1,0.3855197118870644,"AOCWEI JSY Laptop Win 11 PC Portatile N5095 (fino to 2.9 GHz), 14 Pollici Notebook 8 GB 256 GB SSD 1TB Estensioni丨Dual WIFI Supporto丨Ventola Raffreddamento Schermo丨1920 * 1200 2K FHD-Blue",254.99,True,https://www.amazon.it/dp/B0CWMDQS39,4.8
2,87,0.20621904250434295,"bvate PC Portatile 16GB RAM 512GB Laptop Win 11 Core i3 (fino a 3,2Ghz) Notebook 16 Pollici Computer Portatile 1920 * 1200 IPS UHD Tipo C 5G WiFi con mouse & adesivi per tastiera Italiana-Argento",379.99,True,https://www.amazon.it/dp/B0D8WF5RHR,4.6
3,281,0.19125637027277276,"NOTODD PC Portatile Laptop Celeron N4020 (fino a 2.8 GHz), Win 11 Notebook 14 Pollici con 6GB+256GB SSD Expansion 1TB 5G WiFi, BT4.2 Supporto Mouse Wireless & Protezione Tastiera -Rosso",282.34,True,https://www.amazon.it/dp/B0D7W37TZ5,5.0
4,236,0.1896109822783938,"NOTODD PC Portatile Win 11 Laptop 6GB RAM 256GB ROM Estensioni SSD 1TB, Notebook 14 Pollici Celeron N4020 (fino a 2.8GHz) 5G WiFi 1080FHD Bluetooth 4.2 USB 3.0 Tastiera Membrana-Grigio",249.99,True,https://www.amazon.it/dp/B0D93H1KMR,4.9
5,106,0.16707937554820781,"""PC Portatile 16GB RAM DDR4 512GB SSD, 15.6"""" con Celeron N5095 Computer Portatile, Win11 Pro, angolo aperto di 180°, USB 3.0, Sblocco tramite impronta digitale della tastiera retroilluminata Laptop""",269.99,True,https://www.amazon.it/dp/B0D7MF5332,3.9
6,209,0.16250253658934188,PC Portatile 14 Pollici Computer Portatile Win 11 256 GB ROM Celeron N4020 2.4G+5G WiFi upto 2.8 GHz Supporta l'espansione SSD 1TB 4.2 USB HDMI Tastiera Italiana Membrana Mouse Senza Fili-Argento,229.99,True,https://www.amazon.it/dp/B0D8W8J3JH,4.8
7,217,0.16178239507890388,"""Ventola per PC Portatile e Laptop fino a 16"""" - Base di Raffreddamento Silenziosa, con Entrata USB Supplementare, Preserva la Durata del PC""",5.99,False,https://www.amazon.it/dp/B095KR4LWY,4.3
8,156,0.14757028498482755,"""bvate PC Portatile 14"""" Win 11 Notebook 256 GB ROM Supporta l'espansione SSD 1TB 8GB RAM 2.4G+5G WiFi 1080 FHD BT4.2 USB HDMI con mouse senza fili & adesivi per tastiera Italiana-Grigio""",269.99,True,https://www.amazon.it/dp/B0D8WDJXR6,4.8
9,68,0.13977831602284066,"PC Portatile 15,6 pollici, Notebook 24GB LPDDR4 RAM 512GB SSD Laptop, CPU Celeron N5095, 1920*1080 FHD Touch ID, WiFi Dual-Band, con Mini HDMI, 2xUSB 3.0, tastiera retroilluminata full size",289.99,True,https://www.amazon.it/dp/B0DCFM3Z3V,5.0
10,272,0.13669092895465304,"ARZOPA Monitor Portatile, Schermo Portatile 15,6 Pollici, 1920x1080 FHD, Supporto HDMI/Tipo-C/USB-C, Schermo da Gioco Eye-Care, Doppi Altoparlanti Incorporati per Laptop/PC/Mac/PS3/4/5/Xbox",129.99,True,https://www.amazon.it/dp/B092KKLH93,4.4
11,5,0.13186159283374654,"MeLE Quieter4C Mini PC senza ventola 12a Alder Lake N100 (fino a 3,4GHz) 16GB LPDDR4x 512GB Desktop Computer Personale Win 11 Pro 4K Triplo Display Doppio HDMI Tutto-in-Uno USB-C WiFi 5 BT5.1 Ethernet",309.99,True,https://www.amazon.it/dp/B0CP3DDJ7M,4.4
12,234,0.13051158426943654,"AOC PC Portatile 16GB DDR4 RAM 512GB SSD, N97 è superiore al N95,15.6 Pollici FHD Schermo,Gaming Notebook, Laptop (fino a 3,6 GHz) 5G WiFi/BT5.1, USB3.0, HDMI 2.0 Computer Portatile (Grigio)",399.98,True,https://www.amazon.it/dp/B0D8L79YR8,4.4
13,180,0.12802727655688545,"ACEMAGIC PC Portatile 16 Pollici 16GB DDR4 512GB SSD,In-tel N97(Sconfitta N95/N100,Fino a 3,6GHz) Notebook,1920 * 1200 IPS Full HD Portatile,Scocca in metallo,WiFi6,BT5.0,3*USB3.2,HDMI,tipo C Ufficio",359.68,True,https://www.amazon.it/dp/B0CR8YB339,4.2
14,199,0.12789476424622803,"""PC Portatile ACEMAGIC 16GB DDR4 RAM 512GB SSD,15.6"""" Full HD Computer Portatile,Alder Lake-N N95【Battere N100/N5095,Fino a 3.4Ghz】,Windows 11 Laptop,1920 * 1080,HDMI,Ufficio""",365.95,True,https://www.amazon.it/dp/B0D8QN69XF,4.3
15,198,0.12546854003634134,bvate PC Portatile Win 11 Computer 14 Pollici Notebook 6GB+256GB Supporta l' espansione 1TB SSD 2.4G+5G 1080P con mouse senza fili & & Film in lingua siliconica per tastiera(Italiana)-Oro rosa,239.99,True,https://www.amazon.it/dp/B0D8WP3RHC,5.0
16,254,0.12496932142899685,"Insoluxia 15.6 pollici PC Portatile, Notebook Celeron N4000 CPU, Windows 11 Computer Portatile 8GB LPDDR4 RAM 256GB SSD, Schermo FHD 1920 * 1080, USB3.0, WiFi, Mini HDMI, TF Card Slot, BT4.2",219.99,True,https://www.amazon.it/dp/B0D7BX4BXG,4.0
17,229,0.12337047417635602,"DARYUKUM PC Portatile da 14 pollici, Notebook con processore Win11 Pro Celeron J4125, Laptop 8 GB LPDDR4 256 GB SSD ROM Mini HDMI USB 3.0 2.0 WiFi Bluetooth 5.0 Argento PC sottile e leggero",229.99,True,https://www.amazon.it/dp/B0D7HMRRZL,4.1
18,175,0.11651678989637707,"Wexultor PC Portatile 15,6 pollici, Notebook Celeron N4000 CPU, Windows 11 Laptop 8GB DDR4 RAM 256GB SSD, PC Portatile da ufficio Schermo IPS FHD 1920 * 1080, TF Card Slot, USB3.0+BT5.0+Mini-HDMI",219.99,True,https://www.amazon.it/dp/B0D8KPD767,3.7
19,74,0.11206985856079316,"GOODTEL Tablet 10 Pollici | Android 13 | 12GB RAM 128GB ROM(1TB TF) |WiFi 5G | GPS | FHD | Bluetooth5.0 | 8MP+5MP | Tipo C | OTG | Cast | Tablet PC con Custodia, Tastiera e Mouse - Blu",89.99,True,https://www.amazon.it/dp/B0CM6D52MT,4.2
