Model,AUC,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9796732141061018,0.9316252531968519,0.9354804788597282,0.9316252531968519,0.9252565760291044
Random Forest,0.9637576439365539,0.9098988587028418,0.9144280275012406,0.9098988587028418,0.8983777521730572
